call_id,max_results,n_results,n_kept_after_filter,wall_clock_ms,cost_estimate_usd,t_newest,t_oldest,n_within_15min,extrapolated_n_in_15min,extrapolation_confidence,sample_tweet_ids,error
A,50,50,3,5027,0.0075,2026-07-10T05:12:59+00:00,2026-07-09T16:07:36+00:00,3,7,low,"2075448173485752725,2075446847196578126,2075446485370773889",
B1,50,50,40,6083,0.0075,2026-07-10T06:15:02+00:00,2026-07-10T06:09:51+00:00,50,,high,"2075463788892143851,2075463736014303562,2075463733082566967",
B2,50,50,41,8755,0.0075,2026-07-10T06:15:12+00:00,2026-07-10T06:13:00+00:00,50,,high,"2075463830981980215,2075463811239416247,2075463780650348767",
B3,50,50,49,5863,0.0075,2026-07-10T06:15:00+00:00,2026-07-10T06:06:51+00:00,50,,high,"2075463780750774585,2075463772928639399,2075463752032665764",
C1,50,50,19,6181,0.0075,2026-07-10T06:14:53+00:00,2026-07-10T05:41:19+00:00,24,26,medium,"2075463751315476740,2075463667303469087,2075463609006555410",
C2,50,50,5,9250,0.0075,2026-07-10T06:14:05+00:00,2026-07-10T04:27:31+00:00,7,8,medium,"2075463549342851078,2075463067165708358,2075462511651144054",
