call_id,max_results,n_results,n_kept_after_filter,wall_clock_ms,cost_estimate_usd,t_newest,t_oldest,n_within_15min,extrapolated_n_in_15min,extrapolation_confidence,sample_tweet_ids,error
A,50,50,2,5375,0.0075,2026-07-09T08:37:58+00:00,2026-07-08T15:30:37+00:00,1,,high,"2075137374384976260,2075131809638088865,2075118946668446045",
B1,50,50,12,6657,0.0075,2026-07-09T09:36:48+00:00,2026-07-09T09:29:47+00:00,50,,high,"2075152179133022483,2075152178348437557,2075152166319509545",
B2,50,50,11,6393,0.0075,2026-07-09T09:37:09+00:00,2026-07-09T09:35:18+00:00,50,,high,"2075152266961576188,2075152250922566035,2075152247085031841",
B3,50,50,0,5377,0.0075,2026-07-09T09:37:00+00:00,2026-07-09T09:32:48+00:00,50,,high,"2075152228139016204,2075152170937188837,2075152165987877108",
C1,50,50,19,7374,0.0075,2026-07-09T09:37:00+00:00,2026-07-09T08:16:43+00:00,17,17,medium,"2075152228139016204,2075151976241992092,2075150822208598112",
C2,50,50,1,7417,0.0075,2026-07-09T09:34:47+00:00,2026-07-09T07:36:19+00:00,8,8,medium,"2075151672158867626,2075150392724214213,2075149946794463722",
